import time: self [us] | cumulative | imported package
import time:       387 |        387 |           scipy._lib.array_api_extra._lib._lazy
import time:       259 |       5702 |         scipy._lib.array_api_extra
import time:       450 |       6152 |       scipy._lib.array_api_extra.testing
import time:      1372 |       1372 |           pkgutil
import time:      1900 |       3271 |         pydoc
import time:      1656 |       4927 |       scipy._lib._docscrape
import time:      1172 |     265365 |     scipy._lib._array_api
import time:       633 |        633 |       scipy.signal._sigtools
import time:       311 |        311 |           scipy._lib.doccer
import time:      3306 |       3306 |               scipy.linalg._fblas
import time:        68 |         68 |               scipy.linalg._cblas
import time:       473 |       3846 |             scipy.linalg.blas
import time:      2936 |       2936 |               scipy.linalg._flapack
import time:        65 |         65 |               scipy.linalg._clapack
import time:      1201 |       4201 |             scipy.linalg.lapack
import time:       410 |       8457 |           scipy.linalg._misc
import time:      3566 |       3566 |             scipy.linalg.cython_lapack
import time:      2066 |       2066 |             scipy._lib._util
import time:      2385 |       8015 |           scipy.linalg._cythonized_array_utils
import time:      5968 |       5968 |             scipy.linalg._decomp
import time:      2533 |       2533 |             scipy.linalg._decomp_svd
import time:       865 |        865 |             scipy.linalg._solve_toeplitz
import time:      1784 |       1784 |             scipy.linalg._batched_linalg
import time:      4666 |      15815 |           scipy.linalg._basic
import time:       818 |        818 |             scipy.linalg._decomp_lu_cython
import time:       852 |       1670 |           scipy.linalg._decomp_lu
import time:       907 |        907 |           scipy.linalg._decomp_ldl
import time:      1796 |       1796 |           scipy.linalg._decomp_cholesky
import time:      2003 |       2003 |           scipy.linalg._decomp_qr
import time:      1678 |       1678 |           scipy.linalg._decomp_qz
import time:      1327 |       1327 |           scipy.linalg._decomp_schur
import time:       608 |        608 |           scipy.linalg._decomp_polar
import time:       294 |        294 |             scipy._lib.deprecation
import time:      1043 |       1043 |             scipy.linalg._expm_frechet
import time:      1556 |       1556 |             scipy.linalg._matfuncs_schur_sqrtm
import time:       762 |        762 |             scipy.linalg._matfuncs_expm
import time:       784 |        784 |             scipy.linalg._linalg_pythran
import time:      3571 |       8007 |           scipy.linalg._matfuncs
import time:      1682 |       1682 |           scipy.linalg._special_matrices
import time:      1481 |       1481 |           scipy.linalg._solvers
import time:      1943 |       1943 |           scipy.linalg._procrustes
import time:      1046 |       1046 |             scipy.linalg.cython_blas
import time:      3104 |       4150 |           scipy.linalg._decomp_update
import time:      3151 |       3151 |           scipy.linalg._sketches
import time:       372 |        372 |           scipy.linalg._decomp_cossin
import time:       180 |        180 |           scipy.linalg.decomp
import time:       171 |        171 |           scipy.linalg.decomp_cholesky
import time:       159 |        159 |           scipy.linalg.decomp_lu
import time:       168 |        168 |           scipy.linalg.decomp_qr
import time:       157 |        157 |           scipy.linalg.decomp_svd
import time:       242 |        242 |           scipy.linalg.decomp_schur
import time:       192 |        192 |           scipy.linalg.basic
import time:       168 |        168 |           scipy.linalg.misc
import time:       164 |        164 |           scipy.linalg.special_matrices
import time:       162 |        162 |           scipy.linalg.matfuncs
import time:       357 |        357 |           scipy.special._sf_error
import time:      1258 |       1258 |             scipy.special._ufuncs_cxx
import time:       867 |        867 |             scipy.special._ellip_harm_2
import time:      2024 |       2024 |             scipy.special._special_ufuncs
import time:      1252 |       1252 |             scipy.special._gufuncs
import time:      2209 |       7608 |           scipy.special._ufuncs
import time:       180 |        180 |             scipy.special._input_validation
import time:      1163 |       1163 |             scipy.special._specfun
import time:       784 |        784 |             scipy.special._comb
import time:       688 |       2813 |           scipy.special._basic
import time:       189 |        189 |             scipy.special._spfun_stats
import time:     46350 |      46538 |           scipy.special._support_alternative_backends
import time:      1776 |       1776 |           scipy.special._logsumexp
import time:       511 |        511 |           scipy.special._multiufuncs
import time:       583 |        583 |           scipy.special._orthogonal
import time:       240 |        240 |           scipy.special._ellip_harm
import time:       176 |        176 |           scipy.special._lambertw
import time:       237 |        237 |           scipy.special._spherical_bessel
import time:       175 |        175 |           scipy.special.add_newdocs
import time:       182 |        182 |           scipy.special.basic
import time:      1314 |       1314 |           scipy.special.orthogonal
import time:       248 |        248 |           scipy.special.specfun
import time:       214 |        214 |           scipy.special.sf_error
import time:      1263 |       1263 |           scipy.special.spfun_stats
import time:       169 |        169 |               uarray
